Date,Open,High,Low,Close,Volume,Status
2020-01-02,86.84,87.83,86.53,87.64,1079893,ok
2020-01-03,86.44,87.5,86.4,87.24,865924,ok
2020-01-06,86.65,87.58,86.61,87.55,1394159,ok
2020-01-07,88.96,91.15,88.41,90.2,2476356,ok
2020-01-08,90.54,91.97,89.99,91.4,1899024,ok
2020-01-09,92.0,93.22,91.83,93.19,1639613,ok
2020-01-10,93.59,93.96,92.73,93.53,1183819,ok
2020-01-13,94.0,95.36,93.83,94.68,1066596,ok
2020-01-14,94.58,94.59,93.245,93.93,1090277,ok
2020-01-15,94.14,95.81,94.0,95.12,1106992,ok
2020-01-16,95.61,95.85,94.89,95.82,1274652,ok
2020-01-17,96.0,96.0,94.7,95.31,944056,ok
2020-01-21,94.92,95.48,94.5549,94.95,1353145,ok
2020-01-22,95.51,96.15,95.29,95.585,902377,ok
2020-01-23,95.5,96.89,94.98,96.44,817883,ok
2020-01-24,97.2,97.75,95.17,95.52,1004876,ok
2020-01-27,94.06,94.72,93.81,94.23,845887,ok
2020-01-28,94.73,95.43,94.49,94.83,851445,ok
2020-01-29,95.2,95.88,94.75,94.84,922653,ok
2020-01-30,94.49,95.27,93.4,94.61,852077,ok
2020-01-31,94.49,94.49,92.97,93.35,1020152,ok
2020-02-03,94.01,94.28,93.33,93.68,820336,ok
2020-02-04,94.8,95.29,94.21,95.22,1055647,ok
2020-02-05,95.74,96.04,94.91,95.95,915884,ok
2020-02-06,96.32,97.2,96.0,96.95,776475,ok
2020-02-07,96.43,97.4003,95.77,96.12,1242820,ok
2020-02-10,95.66,96.17,95.18,95.76,1387078,ok
2020-02-11,96.21,96.87,95.76,96.37,1834255,ok
2020-02-12,99.95,103.29,97.0,97.45,4497907,ok
2020-02-13,96.7,100.49,96.53,99.6,1914166,ok
2020-02-14,99.77,100.38,98.9,99.67,1053354,ok
2020-02-18,99.29,101.24,98.77,100.96,1527854,ok
2020-02-19,101.2,102.985,101.19,102.56,1274712,ok
2020-02-20,101.9,103.34,100.82,101.47,1474213,ok
2020-02-21,101.4,102.0,99.34,100.52,1132070,ok
2020-02-24,97.1,98.54,95.89,97.11,1514131,ok
2020-02-25,97.62,98.32,93.525,93.73,1293881,ok
2020-02-26,94.57,95.58,92.48,92.54,1635237,ok
